player,pos,team,rec,yds_rec,tds_rec,att_rush,yds_rush,tds_rush,fl,att_pass,cmp,yds_pass,tds_pass,ints,fpts,sacks,ints,frs,ffs,tds,safeties,pas,yds_against,fg,fga,xpt
Olabisi Johnson,WR,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khadarel Hodge,WR,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damiere Byrd,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Slater,WR,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Johnson,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Whitney,WR,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawill Davis,WR,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelton Gibson,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton Miller,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Gentry,WR,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Da'Mari Scott,WR,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrick Wilson,WR,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoJo Natson,WR,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Thomas,WR,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jehu Chesson,WR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Shepard,WR,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim White,WR,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malachi Dupre,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ervin,WR,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Harris,WR,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Godwin,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auden Tate,WR,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Johnson,WR,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dontrelle Inman,WR,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Taylor,WR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Dortch,WR,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Phillips,WR,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Lacy,WR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Williams,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marken Michel,WR,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAngelo Yancey,WR,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Davis,WR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Sims,WR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Hall,WR,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwann Winfree,WR,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Carr,WR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Zylstra,WR,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Wesley,WR,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Sharp,WR,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Turner,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaleel Scott,WR,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max McCaffrey,WR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daurice Fountain,WR,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quadree Henderson,WR,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel Hall,WR,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Pringle,WR,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damore'ea Stringfellow,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pharoh Cooper,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin White,WR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darvin Kidsy,WR,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Smith,WR,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashad Ross,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Powell,WR,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moritz Bohringer,WR,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalif Raymond,WR,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Batson,WR,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Miller,WR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Jones,WR,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Pascal,WR,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J'Mon Moore,WR,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simmie Cobbs Jr.,WR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Reynolds,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mose Frazier,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keon Hatcher,WR,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amara Darboh,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alonzo Russell,WR,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray-Ray McCloud,WR,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Ursua,WR,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndrew White,WR,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Malone,WR,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brice Butler,WR,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jester Weah,WR,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Lazard,WR,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Burbridge,WR,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charone Peake,WR,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krishawn Hogan,WR,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Ford,WR,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javon Wims,WR,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillon Mitchell,WR,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Kelce,TE,KC,97.7,"1,296.9",9.6,0,0,0,0.9,0,0,0,0,0,185.3,0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,TE,PHI,98.8,977.1,7.3,0,0,0,0.8,0,0,0,0,0,140.2,0,0,0,0,0,0,0,0,0,0,0
George Kittle,TE,SF,74.4,"1,114.3",4.9,0,0,0,0.6,0,0,0,0,0,139.6,0,0,0,0,0,0,0,0,0,0,0
O.J. Howard,TE,TB,59,856.2,5.9,0,0,0,0.8,0,0,0,0,0,119.2,0,0,0,0,0,0,0,0,0,0,0
Jared Cook,TE,NO,62.3,822.5,6.1,0,0,0,0.7,0,0,0,0,0,117.6,0,0,0,0,0,0,0,0,0,0,0
Evan Engram,TE,NYG,68.2,860.3,4.8,0,0,0,0.7,0,0,0,0,0,113.7,0,0,0,0,0,0,0,0,0,0,0
Eric Ebron,TE,IND,54.8,589.1,8.2,0,0,0,0.7,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0
Hunter Henry,TE,LAC,55.4,713.2,5.5,0,0,0,0.7,0,0,0,0,0,103.2,0,0,0,0,0,0,0,0,0,0,0
David Njoku,TE,CLE,57.1,655.8,5,0,0,0,0.6,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
Chris Herndon IV,TE,NYJ,44.7,577.9,5.8,0,0,0,0.2,0,0,0,0,0,92.4,0,0,0,0,0,0,0,0,0,0,0
Vance McDonald,TE,PIT,54.8,666.7,4,0,0,0,0.8,0,0,0,0,0,88.7,0,0,0,0,0,0,0,0,0,0,0
Austin Hooper,TE,ATL,64,612,4.2,0,0,0,0.6,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
Delanie Walker,TE,TEN,56,644.9,3.6,0,0,0,0.7,0,0,0,0,0,84.5,0,0,0,0,0,0,0,0,0,0,0
Jack Doyle,TE,IND,60.5,562,4.7,0,0,0,1.2,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
Kyle Rudolph,TE,MIN,54.8,554.4,4.5,0,0,0,0.6,0,0,0,0,0,81.3,0,0,0,0,0,0,0,0,0,0,0
Greg Olsen,TE,CAR,45.7,508.9,4.9,0,0,0,0.1,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
Jimmy Graham,TE,GB,49.6,545.8,4.3,0,0,0,0.6,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
Jordan Reed,TE,WAS,61.3,620.7,3.1,0,0,0,0.8,0,0,0,0,0,78.8,0,0,0,0,0,0,0,0,0,0,0
T.J. Hockenson,TE,DET,51.2,542.4,4.3,0,0,0,1.1,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
Trey Burton,TE,CHI,48.6,518.2,4.2,0,0,0,0.7,0,0,0,0,0,75.7,0,0,0,0,0,0,0,0,0,0,0
Will Dissly,TE,SEA,34.6,465.9,4.7,0,0,0,0.1,0,0,0,0,0,74.6,0,0,0,0,0,0,0,0,0,0,0
Mark Andrews,TE,BAL,36.9,538.4,3.5,0,0,0,0.1,0,0,0,0,0,74.4,0,0,0,0,0,0,0,0,0,0,0
Noah Fant,TE,DEN,46.9,533.4,3.7,0,0,0,0.7,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
Austin Seferian-Jenkins,TE,NE,47.6,403.6,4.5,0,0,0,0.7,0,0,0,0,0,65.8,0,0,0,0,0,0,0,0,0,0,0
Jason Witten,TE,DAL,44.3,413.5,3.5,0,0,0,0.7,0,0,0,0,0,60.9,0,0,0,0,0,0,0,0,0,0,0
Dallas Goedert,TE,PHI,33.4,344.9,4.3,0,0,0,0.1,0,0,0,0,0,60.2,0,0,0,0,0,0,0,0,0,0,0
Tyler Eifert,TE,CIN,38,428.5,2.4,0,0,0,0.1,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
Cameron Brate,TE,TB,33.2,318.5,4.1,0,0,0,0.6,0,0,0,0,0,55.5,0,0,0,0,0,0,0,0,0,0,0
Vernon Davis,TE,WAS,27,401.3,1.7,0,0,0,0.1,0,0,0,0,0,50.2,0,0,0,0,0,0,0,0,0,0,0
Gerald Everett,TE,LAR,29.5,311.2,2.9,0,0,0,0.1,0,0,0,0,0,48.1,0,0,0,0,0,0,0,0,0,0,0
Hayden Hurst,TE,BAL,28.3,332.9,2.4,0,0,0,0.1,0,0,0,0,0,47.5,0,0,0,0,0,0,0,0,0,0,0
Geoff Swaim,TE,JAC,37.5,371.6,1.7,0,0,0,0.1,0,0,0,0,0,47.4,0,0,0,0,0,0,0,0,0,0,0
Mike Gesicki,TE,MIA,37.8,375.7,1.5,0,0,0,0.7,0,0,0,0,0,45.3,0,0,0,0,0,0,0,0,0,0,0
Ian Thomas,TE,CAR,32.2,308.5,2.2,0,0,0,0.1,0,0,0,0,0,43.7,0,0,0,0,0,0,0,0,0,0,0
Jace Sternberger,TE,GB,27,287.7,2.4,0,0,0,0.6,0,0,0,0,0,42.1,0,0,0,0,0,0,0,0,0,0,0
Irv Smith Jr.,TE,MIN,26.1,273.3,1.9,0,0,0,0.6,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0
Tyler Higbee,TE,LAR,22.5,249.7,1.9,0,0,0,0.1,0,0,0,0,0,36.4,0,0,0,0,0,0,0,0,0,0,0
Josh Oliver,TE,JAC,26.3,281.8,1.5,0,0,0,0.6,0,0,0,0,0,36.1,0,0,0,0,0,0,0,0,0,0,0
Jordan Thomas,TE,HOU,18.6,197,2.7,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0
Ed Dickson,TE,SEA,18.9,223.5,2.1,0,0,0,0,0,0,0,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0
Darren Waller,TE,OAK,22.4,244.6,1.5,0,0,0,0.1,0,0,0,0,0,33.1,0,0,0,0,0,0,0,0,0,0,0
Ricky Seals-Jones,TE,ARI,22.2,247.4,1.4,0,0,0,0,0,0,0,0,0,32.9,0,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TE,HOU,23,275.1,0.8,0,0,0,0.1,0,0,0,0,0,32.3,0,0,0,0,0,0,0,0,0,0,0
Adam Shaheen,TE,CHI,14.9,152.6,2.7,0,0,0,0,0,0,0,0,0,31.1,0,0,0,0,0,0,0,0,0,0,0
Rhett Ellison,TE,NYG,20.7,221.1,1.4,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0
Tyler Kroft,TE,BUF,19.5,199.7,1.7,0,0,0,0.1,0,0,0,0,0,29.8,0,0,0,0,0,0,0,0,0,0,0
Dawson Knox,TE,BUF,18.1,216.5,1.2,0,0,0,0.1,0,0,0,0,0,28.7,0,0,0,0,0,0,0,0,0,0,0
Charles Clay,TE,ARI,23.1,222.4,1.1,0,0,0,0.6,0,0,0,0,0,27.7,0,0,0,0,0,0,0,0,0,0,0
Jeff Heuerman,TE,DEN,21.2,193.1,1.4,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0
Xavier Grimble,TE,PIT,17.1,191.3,1.4,0,0,0,0.1,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0
Nick Vannett,TE,SEA,18.8,173.9,1.7,0,0,0,0,0,0,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0,0
Jesse James,TE,DET,18.6,206.6,1,0,0,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0
Demetrius Harris,TE,CLE,13.3,155.5,1.9,0,0,0,0.1,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0,0
Jordan Akins,TE,HOU,18.6,225,0.6,0,0,0,0.1,0,0,0,0,0,26.1,0,0,0,0,0,0,0,0,0,0,0
Maxx Williams,TE,ARI,20,186.5,1.2,0,0,0,0.1,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0
Josh Hill,TE,NO,18.7,177.4,1.3,0,0,0,0.1,0,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0
Blake Jarwin,TE,DAL,15.4,162.7,1.5,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,0,0
Mo Alie-Cox,TE,IND,9.9,156.8,1.5,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0
Garrett Celek,TE,SF,9,132,1.8,0,0,0,0,0,0,0,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0
Luke Willson,TE,OAK,20.7,172.3,1.1,0,0,0,0.1,0,0,0,0,0,23.7,0,0,0,0,0,0,0,0,0,0,0
Matt LaCosse,TE,NE,14.9,177,0.9,0,0,0,0,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0
James O'Shaughnessy,TE,JAC,20.2,195.8,0.4,0,0,0,0.1,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0
Jake Butt,TE,DEN,14.9,161.7,1,0,0,0,0.1,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0
Michael Roberts,TE,DET,7.3,84.8,2.2,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0
Robert Tonyan,TE,GB,5.5,92.5,2,0,0,0,0,0,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,0,0
C.J. Uzomah,TE,CIN,15.3,151.9,0.9,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0
Drew Sample,TE,CIN,14.2,136.2,1.3,0,0,0,0.5,0,0,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0
Dwayne Allen,TE,MIA,14.2,159,0.8,0,0,0,0.1,0,0,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0
Luke Stocker,TE,ATL,8.4,97.8,1.7,0,0,0,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0
Nick Boyle,TE,BAL,19.9,169.4,0.5,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0
Logan Paulsen,TE,ATL,12.4,129,1.1,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0
Virgil Green,TE,LAC,13.1,146,1,0,0,0,0.5,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0
Jakob Johnson,TE,NE,12,125,1,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0
Kahale Warring,TE,HOU,12,127.2,0.8,0,0,0,0.5,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0
Marcedes Lewis,TE,GB,8,94.6,1.2,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0
MyCole Pruitt,TE,TEN,9.5,104,1,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0
Jordan Leggett,TE,NYJ,10.3,106.6,1,0,0,0,0.1,0,0,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0
Jonnu Smith,TE,TEN,9.3,103.5,0.8,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0
Jeremy Sprinkle,TE,WAS,8.6,77.4,1.3,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0
Dan Arnold,TE,NO,8.7,104.6,0.8,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Foster Moreau,TE,OAK,9.9,99.4,0.8,0,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0
Jason Croom,TE,BUF,11.1,129.1,0.6,0,0,0,1,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0
Chris Manhertz,TE,CAR,5.2,74.5,1.2,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0
Garrett Griffin,TE,NO,6,50.5,1.5,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0
Zach Gentry,TE,PIT,9.1,91.4,0.7,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0
Anthony Firkser,TE,TEN,7.7,88.1,0.7,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0
Blake Bell,TE,KC,7.7,81.8,0.8,0,0,0,0.1,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0
Tyler Conklin,TE,NE,8,93,0.5,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0
Kaden Smith,TE,SF,7.3,80.5,0.7,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0
Richard Rodgers,TE,PHI,6.9,79.5,0.6,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0
Scott Simonson,TE,NYG,7.3,69.7,0.7,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0
Seth DeValve,TE,CLE,6,79,0.5,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0
Dalton Schultz,TE,DAL,7.1,77.5,0.5,0,0,0,0.1,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,0
Trevon Wesco,TE,NYJ,6.2,67.2,0.7,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0
Derek Carrier,TE,OAK,6.9,65,0.6,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0
Durham Smythe,TE,MIA,7.1,75.6,0.4,0,0,0,0.1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Jordan Franks,TE,CIN,5,60.5,0.5,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0
Alize Mack,TE,NO,6,59,0.5,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0
Tyrone Swoopes,TE,SEA,4.5,57,0.5,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0
Isaac Nauta,TE,DET,5.5,54,0.5,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0
Temarrick Hemingway,TE,DEN,5.5,52.5,0.5,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0
Caleb Wilson,TE,ARI,5,50,0.5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Ben Koyack,TE,JAC,6,44,0.5,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0
Tommy Sweeney,TE,BUF,4,43.5,0.5,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0
Deon Yelder,TE,KC,3.8,39.6,0.5,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0
Ryan Izzo,TE,MIN,3.9,42.8,0.4,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0
Sean Culkin,TE,LAC,3.6,37.3,0.4,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0
Antony Auclair,TE,TB,3.9,39.4,0.3,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0
David Morgan,TE,MIN,3.6,39.8,0.3,0,0,0,0.1,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0
Neal Sterling,TE,NYJ,3.5,37.3,0.3,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0
Joshua Perkins,TE,PHI,1.9,21.1,0.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cole Hikutini,TE,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Travis,TE,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orson Charles,TE,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Tomlinson,TE,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Watson,TE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerell Adams,TE,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Anderson,TE,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Schreck,TE,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross Dwelley,TE,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Braunecker,TE,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Flanagan,TE,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Fumagalli,TE,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Wick,TE,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Baylis,TE,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Cunningham,TE,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
